ACCE_ABSORB_COST	Absorption price: %d
TOOLTIP_MAX_STAMINA	Max. Endurance +%d
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magic/melee attack +%d%%
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)	
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)	
TOOLTIP_MOV_SPEED	Movement Speed %d%%
TOOLTIP_NECK	Necklace	
TOOLTIP_NEED_ALL_SP	Needed SP: Max.	
TOOLTIP_NEED_GSP	Needed Dragon ghost: %d
TOOLTIP_NEED_HP	Needed HP: %d	
TOOLTIP_NEED_HP_PER_SEC	HP / Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Needed Skill Points:	
TOOLTIP_NEED_SP	Needed SP: %d	
TOOLTIP_NEED_SP_PER_SEC	SP / Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Next Level: %d (Max. %d)	
TOOLTIP_NEXT_SKILL_LEVEL_2	Next Level: %d (Max. %d-%d)	
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Average Damage %d%%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Average Damage Resistance %d%%
TOOLTIP_PARTY_INFO_GRADE_UP1	More than %d Group members	
TOOLTIP_PARTY_INFO_GRADE_UP2	Attack Level +%d	
TOOLTIP_PARTY_INFO_GRADE_UP3	Defense Level +%d	
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Restore HP/SP of all Group members all 60 minutes.	
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Restore HP/SP of all Group members all 30 minutes	
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	You have to wait 3 minutes after the death of a group member.	
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	You can call Group members who are on the same server anytime.	
TOOLTIP_PARTY_INFO_SET_ATTACKER	Attack Level +(Number of Group members./2) Attacker %d can be chosen.	
TOOLTIP_PARTY_INFO_SET_TANKER	Defense Level +(Number of Group members) blade fighters 1 can be chosen.	
TOOLTIP_PARTY_SKILL_LEVEL	Current Level: %d	
TOOLTIP_PARTY_TITLE_GRADE_UP	[Attack/Defense upgraded]
TOOLTIP_PARTY_TITLE_HEAL	[restore]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	When you have more than %d Group members you get %d%% Bonus EXP .	
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Call]	
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Constitute Attacker]	
TOOLTIP_PARTY_TITLE_SET_TANKER	[Constitute Blade Fighter]
TOOLTIP_PEPSI_EVENT	
TOOLTIP_PICK_EXP	Points: %d / %d	
TOOLTIP_PICK_LEVEL	Level: %d	
TOOLTIP_PICK_UPGRADE1	Give it to the Lumberjack
TOOLTIP_PICK_UPGRADE2	to get an
TOOLTIP_PICK_UPGRADE3	Pickax.
TOOLTIP_POTION_CURE	Cure negative effects.	
TOOLTIP_POTION_MIN	Min.	
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Attack speed +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Movement speed +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Sec.	
TOOLTIP_POTION_TIME	Duration:	
TOOLTIP_REQUIREMENT_21_LEVEL	You must have reached Level 21.	
TOOLTIP_REQUIREMENT_41_LEVEL	You must have reached Level 41.	
TOOLTIP_REQUIREMENT_LEVEL	You must have reached Level %d.	
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Level %d needed.	
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d needed	
TOOLTIP_RESIST_BOW	Arrow Resistance %d%%
TOOLTIP_RESIST_DARK	Resistance against darkness +%d%%
TOOLTIP_RESIST_EARTH	Earth resistance +%d%%
TOOLTIP_RESIST_ELEC	Lightning Resistance %d%%
TOOLTIP_RESIST_FIRE	Fire Resistance %d%%
TOOLTIP_RESIST_ICE	Ice resistance +%d%%
TOOLTIP_RESIST_MAGIC	Magic Resistance %d%%
TOOLTIP_RESIST_MAGIC_REDUCTION	Magic penetration of %d%%
TOOLTIP_REST_USABLE_COUNT	Left: %d	
TOOLTIP_SEALED	Soulbound
TOOLTIP_SELLPRICE	Price: %s	
TOOLTIP_SET_ITEM	Set Bonus
TOOLTIP_SHAMAN	Shaman	
TOOLTIP_SHIELD	Shield	
TOOLTIP_SHOES	Shoes	
TOOLTIP_SKILL	Skills
TOOLTIP_SKILLBOOK_NAME	Skill Book	
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Attack Value: +	
TOOLTIP_SKILL_AFFECT_ATT_POWER	Attack Value:	
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Attack Speed: +	
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Defense:	
TOOLTIP_SKILL_AFFECT_DODGE	Opponent Attack Value: -	
TOOLTIP_SKILL_AFFECT_HEAL	Restore HP:	
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Movement Speed: +	
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Chance to reflect close combat attack:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Resistance against Body Damage:	
TOOLTIP_SKILL_COOL_TIME	Recharge: 
TOOLTIP_SKILL_DAMAGE_BONUS	Skill Damage %d%%
TOOLTIP_SKILL_DEFEND_BONUS	Resistance against Skill Damage %d%%
TOOLTIP_SKILL_DURATION	Duration: %d Sek.	
TOOLTIP_SKILL_FORGET_BOOK_NAME	Book of Forgetfulness	
TOOLTIP_SKILL_LEVEL	Current Level: %d	
TOOLTIP_SKILL_LEVEL_MASTER	Current Level: %d (Master)	
TOOLTIP_SKILL_LEVEL_WITH_MAX	Current Level: %d (Max. %d)	
TOOLTIP_SOCKET_EMPTY	Empty	
TOOLTIP_SOCKET_REFINABLE_ITEM	[Item with Socket]
TOOLTIP_SP_REGEN	SP Regeneration +%d%%
TOOLTIP_STR	Strength +%d
TOOLTIP_SURA	Sura	
TOOLTIP_TIME_CHARGER_FIX	Time charging %d sec.
TOOLTIP_TIME_CHARGER_PER	Time charging %d%%
TOOLTIP_UNIQUE	Unique	
TOOLTIP_UNSEAL_LEFT_TIME	Removing soulbind in: %d hrs. %d mins.
TOOLTIP_WARRIOR	Warrior	
TOOLTIP_WEAPON	Weapon	
TOOLTIP_WOLFMAN	Lycan
TOOLTIP_WRISTLET	Wristlet	
UI_ACCEPT	Accept	
UI_CANCEL	Cancel	
UI_CLOSE	Close	
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Decline	
UI_ITEM	Item	
UI_LEFT_TIME	Remaining Time: %d Sec.	
UI_NEXT	Continue	
UI_NEXTPAGE	Next
UI_NOCONTENTS	No Content	
UI_NONAME	No Name	
UI_OK	OK	
UI_POS_UNKNOWN	Unknown Place	
UI_PREVPAGE	Back
UI_UNKNOWN	Unknown	
UPLOAD_MARK_CHECK_NEED_RECONNECT	The upload has to be started again.	
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	The upload has to be started again.	
USE_ITEM_FAILURE_PRIVATE_SHOP	You cannot use items while you have a private shop open.
USE_SKILL_ERROR_UNKNOWN	Unknown Skill Error: %s	

AFFECT_BLUE_POSSESSION	 Indigo Wolf Soul
AFFECT_RED_POSSESSION	 Crimson Wolf Soul
CHARACTER_CREATE_APPEARANCE1	 Appearance 1
CHARACTER_CREATE_APPEARANCE2	 Appearance 2
CHARACTER_CREATE_FEMALE	 Female
CHARACTER_CREATE_MALE	 Male
DESTROYER	 Destroyer
INNER_DECAY	 Decay
INTRO_SELECT_LEVEL	 Lv. %d
LANG_ARABIC	 Arabic
LANG_BULGARIAN	 Bulgarian
LANG_CROATIAN	 Croatian
LANG_CZECH	 Czech
LANG_DANISH	 Danish
LANG_DEFAULT	 Default
LANG_ENGLISH	 English
LANG_FRENCH	 French
LANG_GERMAN	 German
LANG_GREEK	 Greek
LANG_HUNGARIAN	 Hungarian
LANG_ITALIAN	 Italian
LANG_NETHERLANDISH	 Dutch
LANG_POLISH	 Polish
LANG_PORTUGUESE	 Portuguese
LANG_RESTART_FOR_CHANGE	 A restart is needed to activate your settings.
LANG_ROMANIAN	 Romanian
LANG_RUSSIAN	 Russian
LANG_SPANISH	 Spanish
LANG_TURKEY	 Turkish
LOGIN_FAILURE_SHUTDOWN_TIME	 Go to bed ...
LOGIN_FAILURE_VERSION	 Your client is outdated. Please patch.
LOGIN_FAILURE_WRONG_SOCIALID	 The Security code is false.
MINI_GAME_RUMI_EXIT_QUESTION	 Dou you want to exit the game?
MINI_GAME_RUMI_EXIT_QUESTION2	 You receive a reward based on your points.
MINI_GAME_RUMI_START_QUESTION	 You need %d Gold and %d card sets to play.
MINI_GAME_RUMI_START_QUESTION2	 Dou you want to play?
PRIVATESHOPSEARCH_COSTUME_WEAPON	 Weapon Skin
PRIVATESHOPSEARCH_RING	 Rings
SCREENSHOT_SAVE_SUCCESS	 Your screenshot has been successfully saved %s.
SHOP_ITEM_REMOVED	 Sold out
SKILL_GROUP_WOLFMAN_1	 Instinct
SKILL_GROUP_WOLFMAN_2	 N.A
SWITCHBOT_ABOUT_0	 Switchbot V2.2 by Mijago
SWITCHBOT_ABOUT_1	 This Switchbot was developed by Mijago.\nNew ideas are always welcome!\nI beg you not to use this bot  without my permission.
SWITCHBOT_ABOUT_TIME	 Time: %0.1f
SWITCHBOT_ACTIVE	 Active
SWITCHBOT_ACTIVE_PERCENT	 Active (%d%%)
SWITCHBOT_BONUS_NUM	 Bonus %d
SWITCHBOT_CONTINUE_SLOT	 Continue %d switching
SWITCHBOT_DEACTIVATE_ALL	 Deactivate all
SWITCHBOT_DETAILED_HELP	 Detailed help
SWITCHBOT_DONE	 Done
SWITCHBOT_EMPTY	 Empty
SWITCHBOT_ENLARGE	 Enlarge
SWITCHBOT_HALT_ALL	 Halt all
SWITCHBOT_HELP	 Help
SWITCHBOT_HELP_ADD_ITEM	 Draw an item here to add it.
SWITCHBOT_HELP_DURATION	 Slow down the bot.
SWITCHBOT_HELP_MINIMIZE	 Drag the bot to the edge to make him smaller!
SWITCHBOT_HELP_REBUY	 Should the bot rebuy?	 
SWITCHBOT_HELP_STOP_ALL	 Stop ALL processes!
SWITCHBOT_INACTIVE	 Inactive
SWITCHBOT_ITEM_ADDED	 Item added!
SWITCHBOT_ITEM_UNUSEABLE	 You can not switch this item.
SWITCHBOT_MINIMIZE	 Minimize
SWITCHBOT_NO_BONUS	 - Nothing -
SWITCHBOT_PLACE_ITEM_HERE	 Place the item here
SWITCHBOT_REBUY_ACTIVATE	 Rebuy activate
SWITCHBOT_SLOT_ALREADY_IN_BOT	 This slot is already registered in the bot!
SWITCHBOT_SLOT_DONE	 Slot %d: finished switch!
SWITCHBOT_SLOT_NUM	 Slot %d
SWITCHBOT_START_SLOT	 Start %d switch
SWITCHBOT_START_SWITCH	 Start switch
SWITCHBOT_STATUS_TEXT	 Status: %s
SWITCHBOT_STOP_SLOT	 Stop %d switch
SWITCHBOT_SUGGESTIONS	 Suggestions
SWITCHBOT_TAB_CLOSE	 Clos the tab
TARGET_INFO_DAMAGE	 Damage : %s - %s
TARGET_INFO_DEFENSE	 Defence : %s
TARGET_INFO_EXP	 Expierence : %s
TARGET_INFO_MAINRACE	 Race : %s
TARGET_INFO_MAX_HP	 Max. HP : %s
TARGET_INFO_NO_ITEM_TEXT	 No available items
TARGET_INFO_NO_RACE	 No race
TARGET_INFO_RACE_ANIMAL	 Animals
TARGET_INFO_RACE_DARK	 Resistance to darkness
TARGET_INFO_RACE_DEVIL	 Devil
TARGET_INFO_RACE_EARTH	 Earth Resistance
TARGET_INFO_RACE_ELEC	 Lightning Resistance
TARGET_INFO_RACE_FIRE	Fire Resistance
TARGET_INFO_RACE_HUMAN	 Half Human
TARGET_INFO_RACE_ICE	 Ice Resist
TARGET_INFO_RACE_METIN	 Metin-Stone
TARGET_INFO_RACE_MILGYO	 Mystic 
TARGET_INFO_RACE_ORC	 Orcs
TARGET_INFO_RACE_UNDEAD	 Undead
TARGET_INFO_RACE_WIND	 Wind Resistance
TARGET_INFO_STONE_NAME	 Ghost stone
TARGET_INFO_SUBRACE	 Subspecies : %s
TOOLTIP_ANTIFLAG_CHANGE_ATTRIBUTE	 Switch
TOOLTIP_ANTIFLAG_DESTROY	 Destroy
TOOLTIP_ANTIFLAG_DROP	 Drop
TOOLTIP_ANTIFLAG_GIVE	 Trading
TOOLTIP_ANTIFLAG_MYSHOP	Shop
TOOLTIP_ANTIFLAG_PKDROP	 PvP-Drop
TOOLTIP_ANTIFLAG_SAFEBOX	 Storage
TOOLTIP_ANTIFLAG_SELL	 Sell
TOOLTIP_ANTIFLAG_STACK	 Stack
NOT_POSSIBLE	 not possible.
TOOLTIP_APPLY_ATTBONUS_ARACHNID	 Strong against arachnid +%d%%
TOOLTIP_NEXT_SKILL_LEVEL_3	 Next level: %d
TOOLTIP_PICK_MAX	 Maximum Upgrade
TRADE_FOR_NOTHING1	 You're about to give someone things, 
TRADE_FOR_NOTHING2	 this can not be reversed.
TRADE_FOR_NOTHING3	 Are you sure everything is right?
VALUABLE_ITEM_SURE	 This item could be valuable to you, nevertheless perform this ? 
WAR_DIALOG_LIVES	 Life
