ACCE_ABSORB_COST	Pret Absorbtie: %d
TOOLTIP_APPLY_ITEM_DROP_BONUS	ªansã %d%% de a arunca de 2 ori mai multe obiecte
TOOLTIP_APPLY_KILL_HP_RECOVER	ªansã %d%% de a reface PV
TOOLTIP_APPLY_KILL_SP_RECOVER	ªansã %d%% de a reface PM
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% ºansã de a jefui SP
TOOLTIP_APPLY_MAX_HP_PCT	Max. PV +%d%%
TOOLTIP_APPLY_MAX_SP_PCT	Max. PM +%d%%
TOOLTIP_APPLY_NOAFFECT	Fãrã efect
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nu vei pierde puncte de experienþã dacã iti vei invia caracterul in locul in care a murit.
TOOLTIP_APPLY_PENETRATE_PCT	ªansã %d%% la lovituri pãtrunzãtoare
TOOLTIP_APPLY_POISON_PCT	ªansã de otrãvire %d%%
TOOLTIP_APPLY_POISON_REDUCE	Rezistenþa la otravã %d%%
TOOLTIP_APPLY_POTION_BONUS	%d%% creºtere efect al licorii
TOOLTIP_APPLY_REFLECT_CURSE	ªansa %d%% de a reflecta un blestem
TOOLTIP_APPLY_REFLECT_MELEE	%d%% ºansã de a reflecta loviturile atacului corporal
TOOLTIP_APPLY_RESIST_ASSASSIN	ªansa de apãrare împotriva atacului ninja %d%%
TOOLTIP_APPLY_RESIST_BELL	Apãrare clopot %d%%
TOOLTIP_APPLY_RESIST_CLAW	Sansa de aparare impotriva coltilor + %d%%
TOOLTIP_APPLY_RESIST_DAGGER	Apãrare pumnal %d%%
TOOLTIP_APPLY_RESIST_FAN	Apãrare evantai %d%%
TOOLTIP_APPLY_RESIST_SHAMAN	ªansa de apãrare împotriva atacului ºamanilor %d%%
TOOLTIP_APPLY_RESIST_SURA	ªansa de apãrare împotriva atacului sura %d%%
TOOLTIP_APPLY_RESIST_SWORD	Apãrare cu sabia %d%%
TOOLTIP_APPLY_RESIST_TWOHAND	Apãrare cu douã mâini %d%%
TOOLTIP_APPLY_RESIST_WARRIOR	Sansa de aparare impotriva atacului razboinicilor: %d%%
TOOLTIP_APPLY_RESIST_WIND	Rezistenþa vântului %d%%
TOOLTIP_APPLY_RESIST_WOLFMAN	Sansa de aparare impotriva atacului Lycan %d%%
TOOLTIP_APPLY_SKILL_BOOK_BONUS	ªansa de a învãþa din cãrþi de 2,5 ori mai bunã.
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Dacã învãþatul nu reuºeºte, ai încã o încercare gratuitã.
TOOLTIP_APPLY_SLOW_PCT	ªansã de încetinire %d%%
TOOLTIP_APPLY_STEAL_HP	%d%% daune vor fi absorbite de PV.
TOOLTIP_APPLY_STEAL_SP	%d%% daune vor fi absorbite de PM.
TOOLTIP_APPLY_STUN_PCT	ªansa de blocare %d%%
TOOLTIP_ARMOR	Armurã
TOOLTIP_ARROW	Sãgeatã
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Valoarea atacului +%d
TOOLTIP_ATT_SPEED	Viteza de atac +%d%%
TOOLTIP_ATT_SPEED_SLOW	Viteza atacului redusã
TOOLTIP_AUTO_POTION_HP	Elixirul Soarelui
TOOLTIP_AUTO_POTION_REST	A mai ramas: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixirul Lunii
TOOLTIP_AUTO_POTION_USING	Activ
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Atac-Automat
TOOLTIP_BATTLE_POTION	Zonã de Rãzboi Licoare de Luptã
TOOLTIP_BOW_DISTANCE	Autonomia arcului +%dm
TOOLTIP_BUYPRICE	Preþ: %s
TOOLTIP_CAST_SPEED	Viteza farmecului +%d%%
TOOLTIP_CON	Vitalitate +%d
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costum %d%%
TOOLTIP_DEF_GRADE	Apãrare +%d
TOOLTIP_DEX	Dexteritate +%d
TOOLTIP_DRAGON_SOUL_DECK1	Pamant
TOOLTIP_DRAGON_SOUL_DECK2	Cer
TOOLTIP_EAR	Cercel
TOOLTIP_ENERGY	Energie %d
TOOLTIP_ETC	etc.
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%
TOOLTIP_FISHINGROD_EXP	Puncte: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Nivel: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dã-o pescarului
TOOLTIP_FISHINGROD_UPGRADE2	pentru a realiza din ea
TOOLTIP_FISHINGROD_UPGRADE3	undiþã
TOOLTIP_FISH_LEN	Lungime: %.2fcm
TOOLTIP_GUILD_SKILL_ACCEL	Accelerare +%d
TOOLTIP_GUILD_SKILL_BLESS	Binecuvântarea Zeului Dragon +%d
TOOLTIP_GUILD_SKILL_BLOOD	Sângele Zeului Dragon +%d
TOOLTIP_GUILD_SKILL_BUNNO	Mânia Zeului Dragon +%d%%
TOOLTIP_GUILD_SKILL_JUMUN	Ajutor Fermecat +%d%%
TOOLTIP_GUILD_SKILL_SEONGHWI	Armurã Sfântã +%d
TOOLTIP_HELMET	Coif
TOOLTIP_HP_REGEN	Regenerarea PV +%d%%
TOOLTIP_INT	Inteligenþã +%d
TOOLTIP_ITEM_ATT_GRADE	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER	Valoarea atacului %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valoarea atacului %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Viteza de atac %s
TOOLTIP_ITEM_DEF_GRADE	Apãrare %d
TOOLTIP_ITEM_FAST	Repede
TOOLTIP_ITEM_LIMIT_CON	Limita superioarã a vitalitãþii %d
TOOLTIP_ITEM_LIMIT_DEX	Limita Superioarã a Dexteritãþii: %d
TOOLTIP_ITEM_LIMIT_INT	Limita superioarã a inteligenþei: %d
TOOLTIP_ITEM_LIMIT_LEVEL	De la nivelul: %d
TOOLTIP_ITEM_LIMIT_STR	Limita superioarã a Puterii: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valoarea atacului magic %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valoarea atacului magic %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Apãrare magicã %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Încet
TOOLTIP_ITEM_VERY_FAST	Foarte repede
TOOLTIP_ITEM_VERY_SLOW	Foarte încet
TOOLTIP_ITEM_WEARABLE_JOB	[ echipabil ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Numãr norocos: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Atac magic +%d%%
TOOLTIP_MAGIC_ATT_GRADE	Valoarea atacului magic +%d
TOOLTIP_MAGIC_DEF_GRADE	Apãrare magicã +%d
TOOLTIP_MALL_ATTBONUS	Valoarea atacului +%d%%
TOOLTIP_MALL_ATTBONUS_STATIC	Valoarea Atacului +20%
TOOLTIP_MALL_AUTOLOOT	Yang este însuºit automat.
TOOLTIP_MALL_DEFBONUS	Apãrare +%d%%
TOOLTIP_MALL_DEFBONUS_STATIC	Apãrare +20%
TOOLTIP_MALL_EXPBONUS	EXP +%d%%
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%
TOOLTIP_MALL_EXPBONUS_STATIC	50% mai mult EXP
TOOLTIP_MALL_FISH_MIND	ªansa de a prinde un peºte este mai mare.
TOOLTIP_MALL_GOLDBONUS	Sansa de drop Yang crescuta cu %.1f%%
TOOLTIP_MALL_GOLDBONUS_STATIC	Dubleaza sansa de drop Yang
TOOLTIP_MALL_ITEMBONUS	ªansã de drop obiecte (%.1f)
TOOLTIP_MALL_ITEMBONUS_P_STATIC	ªansa iCafe de a captura obiecte plus %.1f%%
TOOLTIP_MALL_ITEMBONUS_STATIC	ªansã dublã drop obiecte
TOOLTIP_MALL_MARRIAGE_FAST	Punctele de dragoste cresc mai repede.
TOOLTIP_MALL_SAFEBOX	Mai mult spaþiu de depozitare stã la dispoziþie.
TOOLTIP_MAX_HP	Max. PV +%d
TOOLTIP_MAX_HP_PCT	Max. PV +%d%%
TOOLTIP_MAX_SP	Max. PM +%d
TOOLTIP_MAX_SP_PCT	Max. PM +%d%%
TOOLTIP_MAX_STAMINA	Rezistenþã max. +%d
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Atac cu arma/magic +%d%%
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	EROARE-GPS(%d, %d)
TOOLTIP_MOV_SPEED	Viteza de miºcare %d%%
TOOLTIP_NECK	Colier
TOOLTIP_NEED_ALL_SP	PM necesare: Max.
TOOLTIP_NEED_GSP	Spirit Dragon necesar: %d
TOOLTIP_NEED_HP	PV necesare: %d
TOOLTIP_NEED_HP_PER_SEC	PV/Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Puncte de calificare necesare:
TOOLTIP_NEED_SP	PM necesare: %d
TOOLTIP_NEED_SP_PER_SEC	SP/Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Nivelul urmãtor: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Nivelul urmãtor: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Paguba medie %d%%
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Rezistenþa medie la pagubã %d%%
TOOLTIP_PARTY_INFO_GRADE_UP1	Peste %d membri ai grupei
TOOLTIP_PARTY_INFO_GRADE_UP2	Categoria de atac +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Categoria de aparare +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odatã în 60 de minute.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odatã în 30 de minute.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Trebuie sã aºtepþi 3 minute dupã moartea membrului grupei.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Poþi striga încoace oricând membri ai grupei de pe acelaºi server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Categoria de atac +(Membri grupei/2) %d atacatorii pot fi alesi.
TOOLTIP_PARTY_INFO_SET_TANKER	Nivelul de aparare +(Numãrul Membri grupei) luptãtorii cu sabia 1 pot fi aleºi.
TOOLTIP_PARTY_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Atac/apãrare îmbunãtãþit]
TOOLTIP_PARTY_TITLE_HEAL	[Reface]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Mai mult de %d membri ai grupei oferã %d%% EXP-bonus.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Strigã încoace]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Stabileºte atacatorul]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Stabileºte luptãtor cu sabia]
TOOLTIP_PEPSI_EVENT	
TOOLTIP_PICK_EXP	Puncte: %d / %d
TOOLTIP_PICK_LEVEL	Nivel: %d
TOOLTIP_PICK_UPGRADE1	Dã-o tãietorului de lemne
TOOLTIP_PICK_UPGRADE2	pentru a realiza din ea
TOOLTIP_PICK_UPGRADE3	Târnãcop
TOOLTIP_POTION_CURE	Anuleazã efectele negative.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Viteza de atac +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	PV +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	PV +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Viteza de miºcare +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durata:
TOOLTIP_REQUIREMENT_21_LEVEL	Trebuie sã fi atins nivelul 21
TOOLTIP_REQUIREMENT_41_LEVEL	Trebuie sã fi atins nivelul 41
TOOLTIP_REQUIREMENT_LEVEL	Trebuie sã fi atins nivelul %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s nivelul %d necesar
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d necesar
TOOLTIP_RESIST_BOW	Rezistenþa la sãgeþi %d%%
TOOLTIP_RESIST_DARK	Rezistenta la intunecare +%d%%
TOOLTIP_RESIST_EARTH	Rezistenta pamant +%d%%
TOOLTIP_RESIST_ELEC	Rezistenþa la fulger %d%%
TOOLTIP_RESIST_FIRE	Rezistenþa la foc %d%%
TOOLTIP_RESIST_ICE	Rezistenta gheata +%d%%
TOOLTIP_RESIST_MAGIC	Rezistenþa la magie %d%%
TOOLTIP_RESIST_MAGIC_REDUCTION	Penetrare magica de %d%%
TOOLTIP_REST_USABLE_COUNT	Rãmas: %d
TOOLTIP_SEALED	Personalizat
TOOLTIP_SELLPRICE	Preþ: %s
TOOLTIP_SET_ITEM	Set Bonus
TOOLTIP_SHAMAN	ªaman
TOOLTIP_SHIELD	Scut
TOOLTIP_SHOES	Papuci
TOOLTIP_SKILL	Abilitate
TOOLTIP_SKILLBOOK_NAME	Cartea Abilitãþii
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Valoarea atacului: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Valoarea atacului:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Viteza de atac: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Apãrare:
TOOLTIP_SKILL_AFFECT_DODGE	Valoarea atacului inamic: -
TOOLTIP_SKILL_AFFECT_HEAL	Reînnoieºte PV:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Viteza de miºcare: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	ªansa de a evita un atac corporal:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Rezistenþã la pagubã corporalã:
TOOLTIP_SKILL_COOL_TIME	Re-încãrcare: 
TOOLTIP_SKILL_DAMAGE_BONUS	Paguba Abilitãþii %d%%
TOOLTIP_SKILL_DEFEND_BONUS	Rezistenþã la Paguba Abilitãþii %d%%
TOOLTIP_SKILL_DURATION	Durata: %d sec.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Cartea Uitãrii
TOOLTIP_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_SKILL_LEVEL_MASTER	Nivel actual: %d (Maestru)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Nivel actual: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Gol
TOOLTIP_SOCKET_REFINABLE_ITEM	[Obiect cu suport]
TOOLTIP_SP_REGEN	Regenerare PM +%d%%
TOOLTIP_STR	Putere +%d
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Timp de incarcare %d sec.
TOOLTIP_TIME_CHARGER_PER	Timp de incarcare %d%%
TOOLTIP_UNIQUE	Unic
TOOLTIP_UNSEAL_LEFT_TIME	Personalizat inca: %dH %dM
TOOLTIP_WARRIOR	Rãzboinic
TOOLTIP_WEAPON	Armã
TOOLTIP_WOLFMAN	Lycan
TOOLTIP_WRISTLET	Brãþarã
UI_ACCEPT	Acceptã
UI_CANCEL	Întrerupere
UI_CLOSE	Închide
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Refuzã
UI_ITEM	Obiect
UI_LEFT_TIME	Timp rãmas: %d sec.
UI_NEXT	Continuã
UI_NEXTPAGE	Urmatorul
UI_NOCONTENTS	Niciun conþinut
UI_NONAME	Niciun nume
UI_OK	OK
UI_POS_UNKNOWN	Localitate necunoscutã
UI_PREVPAGE	inapoi
UI_UNKNOWN	Necunoscut
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload-ul trebuie pornit încã odatã
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload-ul terbuie pornit încã odatã
USE_ITEM_FAILURE_PRIVATE_SHOP	Nu poþi folosi obiectul dacã ai deschis un magazin.
USE_SKILL_ERROR_UNKNOWN	Greºealã de abilitate necunoscutã: %s

AFFECT_BLUE_POSSESSION	Sufletul Lupului Indigo
AFFECT_RED_POSSESSION	Sufletul Lupului Rosu
CHARACTER_CREATE_APPEARANCE1	Aparenta 1
CHARACTER_CREATE_APPEARANCE2	Aparenta 2
CHARACTER_CREATE_FEMALE	Feminin
CHARACTER_CREATE_MALE	Masculin
DESTROYER	Distrugator
INNER_DECAY	Scadere
INTRO_SELECT_LEVEL	Lv. %d
LANG_ARABIC	Araba
LANG_BULGARIAN	Bulgara
LANG_CROATIAN	Croata
LANG_CZECH	Ceha
LANG_DANISH	Daneza
LANG_DEFAULT	Default
LANG_ENGLISH	Engleza
LANG_FRENCH	Franceza
LANG_GERMAN	Germana
LANG_GREEK	Greaca
LANG_HUNGARIAN	Ungara
LANG_ITALIAN	Italiana
LANG_NETHERLANDISH	Olandeza
LANG_POLISH	Poloneza
LANG_PORTUGUESE	Portugheza
LANG_RESTART_FOR_CHANGE	Este nevoie de un restart al clientului pentru a se aplica noile setari.
LANG_ROMANIAN	Romana
LANG_RUSSIAN	Rusa
LANG_SPANISH	Spaniola
LANG_TURKEY	Turca
LOGIN_FAILURE_SHUTDOWN_TIME	 E timpul sa mergi la somn...
LOGIN_FAILURE_VERSION	Clientul tau nu este actualizat. Foloseste patcherul!
LOGIN_FAILURE_WRONG_SOCIALID	Codul de securitate este gresit.
MINI_GAME_RUMI_EXIT_QUESTION	Doresti sa parasesti jocul?
MINI_GAME_RUMI_EXIT_QUESTION2	Vei primi o recompensa bazata pe punctele tale.
MINI_GAME_RUMI_START_QUESTION	Ai nevoie de %d Yang si %d seturi de carduri pentru a juca.
MINI_GAME_RUMI_START_QUESTION2	Doresti sa joci?
PRIVATESHOPSEARCH_COSTUME_WEAPON	Skin Arma
PRIVATESHOPSEARCH_RING	Inele
SCREENSHOT_SAVE_SUCCESS	Screenshotul tau s-a salvat cu succes in folderul %s.
SHOP_ITEM_REMOVED	Vandut
SKILL_GROUP_WOLFMAN_1	Instinct
SKILL_GROUP_WOLFMAN_2	N.A
SWITCHBOT_ABOUT_0	Switchbot V2.2 by Mijago
SWITCHBOT_ABOUT_1	Switchbot dezvoltat de catre Mijago.\nNoi idei sunt binevenite mereu!\nVa rog sa nu folositi acest switchbot fara acordul meu.
SWITCHBOT_ABOUT_TIME	Timp: %0.1f
SWITCHBOT_ACTIVE	Activ
SWITCHBOT_ACTIVE_PERCENT	Activ (%d%%)
SWITCHBOT_BONUS_NUM	Bonus %d
SWITCHBOT_CONTINUE_SLOT	Continua %d schimbare
SWITCHBOT_DEACTIVATE_ALL	Deactiveaza tot
SWITCHBOT_DETAILED_HELP	Ajutor 
SWITCHBOT_DONE	Gata
SWITCHBOT_EMPTY	Gol
SWITCHBOT_ENLARGE	Mareste
SWITCHBOT_HALT_ALL	Inchide tot
SWITCHBOT_HELP	Ajutor
SWITCHBOT_HELP_ADD_ITEM	Trage un obiect aici pentru a il adauga.
SWITCHBOT_HELP_DURATION	Incetineste switchbotul.
SWITCHBOT_HELP_MINIMIZE	Trage fereastra in jos pentru a o minimiza!
SWITCHBOT_HELP_REBUY	Vrei ca switchbotul sa cumpere automat?	
SWITCHBOT_HELP_STOP_ALL	Opreste tot!
SWITCHBOT_INACTIVE	Inactiv
SWITCHBOT_ITEM_ADDED	Obiect adaugat!
SWITCHBOT_ITEM_UNUSEABLE	Nu poti schimba acest obiect.
SWITCHBOT_MINIMIZE	Minimizeaza
SWITCHBOT_NO_BONUS	- Liber -
SWITCHBOT_PLACE_ITEM_HERE	Aseaza obiectul aici
SWITCHBOT_REBUY_ACTIVATE	Activeaza Autocumpararea
SWITCHBOT_SLOT_ALREADY_IN_BOT	Acest slot este deja ocupat de un obiect!
SWITCHBOT_SLOT_DONE	Slot %d: a terminat!
SWITCHBOT_SLOT_NUM	Slot %d
SWITCHBOT_START_SLOT	Start %d schimbare
SWITCHBOT_START_SWITCH	Start schimbare
SWITCHBOT_STATUS_TEXT	Status: %s
SWITCHBOT_STOP_SLOT	Stop %d schimbare
SWITCHBOT_SUGGESTIONS	Sugestii
SWITCHBOT_TAB_CLOSE	Inchide tabul
TARGET_INFO_DAMAGE	Paguba : %s - %s
TARGET_INFO_DEFENSE	Aparare : %s
TARGET_INFO_EXP	Expierenta : %s
TARGET_INFO_MAINRACE	Rasa : %s
TARGET_INFO_MAX_HP	Max. PV: %s
TARGET_INFO_NO_ITEM_TEXT	Niciun obiect disponibil
TARGET_INFO_NO_RACE	Nicio rasa
TARGET_INFO_RACE_ANIMAL	Animale
TARGET_INFO_RACE_DARK	Rezistenta Intuneric
TARGET_INFO_RACE_DEVIL	Diavol
TARGET_INFO_RACE_EARTH	Rezistenta Pamant
TARGET_INFO_RACE_ELEC	Rezistenta Fulger
TARGET_INFO_RACE_FIRE	Rezistenta Foc
TARGET_INFO_RACE_HUMAN	Tare Impotriva Semioamenilor
TARGET_INFO_RACE_ICE	Rezistenta Gheata
TARGET_INFO_RACE_METIN	Piatra Metin
TARGET_INFO_RACE_MILGYO	Esoterici 
TARGET_INFO_RACE_ORC	Orci
TARGET_INFO_RACE_UNDEAD	Vampiri
TARGET_INFO_RACE_WIND	Rezistenta Vant
TARGET_INFO_STONE_NAME	Piatra Spiritului
TARGET_INFO_SUBRACE	Subspecii : %s
TOOLTIP_ANTIFLAG_CHANGE_ATTRIBUTE	Schimba
TOOLTIP_ANTIFLAG_DESTROY	Distruge
TOOLTIP_ANTIFLAG_DROP	Arunca
TOOLTIP_ANTIFLAG_GIVE	Negociaza
TOOLTIP_ANTIFLAG_MYSHOP	Magazin
TOOLTIP_ANTIFLAG_PKDROP	PvP-Protectie
TOOLTIP_ANTIFLAG_SAFEBOX	Depozit
TOOLTIP_ANTIFLAG_SELL	Vinde
TOOLTIP_ANTIFLAG_STACK	Stacheaza
NOT_POSSIBLE	nu este posibil.
TOOLTIP_APPLY_ATTBONUS_ARACHNID	Tare Impotriva Arahidelor+%d%%
TOOLTIP_NEXT_SKILL_LEVEL_3	Nivelul Urmator: %d
TOOLTIP_PICK_MAX	Imbunatatire Maxima
TRADE_FOR_NOTHING1	Esti pe cale de a-i da cuiva un obiect, 
TRADE_FOR_NOTHING2	acest lucru nu se poate recupera.
TRADE_FOR_NOTHING3	Esti sigur ca totul este bine?
VALUABLE_ITEM_SURE	Acest obiect poate sa fie valoros pentru tine, doresti sa faci acest lucru?
WAR_DIALOG_LIVES	Viata
